16	1-1	1.00	半球	0.89	11-26 03:46	滚
16	1-1	0.97	半球	0.92	11-26 03:46	滚
15	1-1	0.94	半球	0.95	11-26 03:46	滚
15	1-1	0.91	半球	0.98	11-26 03:46	滚
15	1-1	0.90	半球	0.99	11-26 03:46	滚
15	1-1	0.94	半球	0.95	11-26 03:45	滚
15	1-1	0.90	半球	0.99	11-26 03:45	滚
15	1-1	0.93	半球	0.96	11-26 03:45	滚
15	1-1	0.99	半球	0.90	11-26 03:45	滚
15	1-1	0.96	半球	0.93	11-26 03:45	滚
15	1-1	0.99	半球	0.90	11-26 03:45	滚
14	1-0	封	11-26 03:44	滚
14	1-0	1.06	半球	0.83	11-26 03:44	滚
13	1-0	0.77	平手/半球	1.13	11-26 03:44	滚
13	1-0	0.80	平手/半球	1.09	11-26 03:43	滚
12	1-0	0.83	平手/半球	1.06	11-26 03:42	滚
11	1-0	0.82	平手/半球	1.07	11-26 03:41	滚
09	1-0	0.84	平手/半球	1.05	11-26 03:39	滚
09	1-0	0.87	平手/半球	1.02	11-26 03:39	滚
09	1-0	0.85	平手/半球	1.04	11-26 03:39	滚
09	1-0	0.88	平手/半球	1.01	11-26 03:39	滚
09	1-0	0.85	平手/半球	1.04	11-26 03:39	滚
09	1-0	0.88	平手/半球	1.01	11-26 03:39	滚
08	1-0	0.90	平手/半球	0.99	11-26 03:39	滚
07	1-0	0.87	平手/半球	1.02	11-26 03:38	滚
07	1-0	0.88	平手/半球	1.01	11-26 03:38	滚
06	1-0	0.85	平手/半球	1.04	11-26 03:36	滚
06	1-0	0.83	平手/半球	1.06	11-26 03:36	滚
05	1-0	0.86	平手/半球	1.03	11-26 03:35	滚
05	1-0	0.84	平手/半球	1.05	11-26 03:35	滚
05	1-0	0.89	平手/半球	1.00	11-26 03:35	滚
05	1-0	0.90	平手/半球	0.99	11-26 03:35	滚
05	1-0	0.92	平手/半球	0.97	11-26 03:35	滚
05	1-0	0.89	平手/半球	1.00	11-26 03:35	滚
04	1-0	0.86	平手/半球	1.03	11-26 03:34	滚
04	1-0	0.83	平手/半球	1.06	11-26 03:34	滚
04	1-0	0.86	平手/半球	1.03	11-26 03:34	滚
04	1-0	0.83	平手/半球	1.06	11-26 03:34	滚
03	1-0	0.86	平手/半球	1.03	11-26 03:34	滚
03	1-0	0.89	平手/半球	1.00	11-26 03:34	滚
03	1-0	0.86	平手/半球	1.03	11-26 03:34	滚
03	1-0	0.89	平手/半球	1.00	11-26 03:34	滚
03	1-0	0.86	平手/半球	1.03	11-26 03:33	滚
03	1-0	0.89	平手/半球	1.00	11-26 03:33	滚
02	1-0	0.83	平手/半球	1.06	11-26 03:32	滚
01	0-0	封	11-26 03:31	滚
01	0-0	0.97	半球	0.94	11-26 03:31	滚
01	0-0	1.00	半球	0.91	11-26 03:31	滚
00	0-0	0.97	半球	0.94	11-26 03:30	滚
00	0-0	1.00	半球	0.91	11-26 03:30	滚
1.00	半球	0.91	11-26 03:22	即
0.99	半球	0.92	11-26 03:20	即
1.00	半球	0.91	11-26 03:19	即
0.99	半球	0.92	11-26 03:18	即
1.00	半球	0.91	11-26 03:17	即
0.99	半球	0.92	11-26 03:15	即
1.00	半球	0.91	11-26 03:14	即
0.99	半球	0.92	11-26 03:14	即
1.00	半球	0.91	11-26 03:14	即
0.99	半球	0.92	11-26 03:11	即
1.00	半球	0.91	11-26 03:02	即
0.99	半球	0.92	11-26 02:56	即
0.98	半球	0.93	11-26 02:48	即
0.99	半球	0.92	11-26 02:42	即
1.01	半球	0.90	11-26 02:40	即
1.02	半球	0.89	11-26 02:38	即
